iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,2020-02-05,13.0,0.0,1.0,,,,0.504,0.0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-06,14.0,1.0,0.714,,,,0.543,0.039,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-07,15.0,1.0,0.857,,,,0.582,0.039,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-08,15.0,0.0,0.429,,,,0.582,0.0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-09,15.0,0.0,0.429,,,,0.582,0.0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-765.6,-4.29,-3.56,-29.6879772649656
AUS,Oceania,Australia,2020-02-10,15.0,0.0,0.429,,,,0.582,0.0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-11,15.0,0.0,0.286,,,,0.582,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-12,15.0,0.0,0.286,,,,0.582,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-13,15.0,0.0,0.143,,,,0.582,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-14,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-15,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-16,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-788.0,-3.79,-0.75,-30.5565910198445
AUS,Oceania,Australia,2020-02-17,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-18,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-19,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-20,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-21,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-22,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-23,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-837.0,-3.52,-1.64,-32.4566836086419
AUS,Oceania,Australia,2020-02-24,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-25,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-26,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-27,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-28,15.0,0.0,0.0,,,,0.582,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-02-29,25.0,10.0,1.429,,,,0.969,0.388,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-01,27.0,2.0,1.714,1.0,1.0,0.143,1.047,0.078,0.066,0.039,0.039,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-810.8,-3.03,0.88,-31.4407157346318
AUS,Oceania,Australia,2020-03-02,30.0,3.0,2.143,1.0,0.0,0.143,1.163,0.116,0.083,0.039,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-03,39.0,9.0,3.429,1.0,0.0,0.143,1.512,0.349,0.133,0.039,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-04,52.0,13.0,5.286,2.0,1.0,0.286,2.016,0.504,0.205,0.078,0.039,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-05,55.0,3.0,5.714,2.0,0.0,0.286,2.133,0.116,0.222,0.078,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-06,60.0,5.0,6.429,2.0,0.0,0.286,2.327,0.194,0.249,0.078,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-07,63.0,3.0,5.429,2.0,0.0,0.286,2.443,0.116,0.211,0.078,0.0,0.011,,,,,,,,,,,6796.0,0.264,,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-08,76.0,13.0,7.0,3.0,1.0,0.286,2.947,0.504,0.271,0.116,0.039,0.011,,,,,,,,,,420.0,7216.0,0.28,0.016,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-919.0,-3.08,-3.56,-35.6364303898947
AUS,Oceania,Australia,2020-03-09,91.0,15.0,8.714,3.0,0.0,0.286,3.529,0.582,0.338,0.116,0.0,0.011,,,,,,,,,,1155.0,8371.0,0.325,0.045,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-10,107.0,16.0,9.714,3.0,0.0,0.286,4.149,0.62,0.377,0.116,0.0,0.011,,,,,,,,,,663.0,9034.0,0.35,0.026,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-11,128.0,21.0,10.857,3.0,0.0,0.143,4.964,0.814,0.421,0.116,0.0,0.006,2.12,,,,,,,,,1187.0,10221.0,0.396,0.046,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-12,128.0,0.0,10.429,3.0,0.0,0.143,4.964,0.0,0.404,0.116,0.0,0.006,2.17,,,,,,,,,4635.0,14856.0,0.576,0.18,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-13,200.0,72.0,20.0,3.0,0.0,0.143,7.755,2.792,0.776,0.116,0.0,0.006,2.34,,,,,,,,,1829.0,16685.0,0.647,0.071,,,,,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-14,250.0,50.0,26.714,3.0,0.0,0.143,9.694,1.939,1.036,0.116,0.0,0.006,2.32,,,,,,,,,3811.0,20496.0,0.795,0.148,1957.0,0.076,0.0137,73.3,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-15,297.0,47.0,31.571,3.0,0.0,0.0,11.517,1.823,1.224,0.116,0.0,0.0,2.32,,,,,,,,,2071.0,22567.0,0.875,0.08,2193.0,0.085,0.0144,69.5,tests performed,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-992.2,-3.03,-2.46,-38.4749360531595
AUS,Oceania,Australia,2020-03-16,377.0,80.0,40.857,3.0,0.0,0.0,14.619,3.102,1.584,0.116,0.0,0.0,2.39,,,,,,,,,22003.0,44570.0,1.728,0.853,5171.0,0.201,0.0079,126.6,tests performed,,,,,,,,,,,,,,30.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-17,452.0,75.0,49.286,5.0,2.0,0.286,17.527,2.908,1.911,0.194,0.078,0.011,2.4,,,,,,,,,6487.0,51057.0,1.98,0.252,6003.0,0.233,0.0082,121.8,tests performed,,,,,,,,,,,,,,30.56,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-18,568.0,116.0,62.857,6.0,1.0,0.429,22.026,4.498,2.437,0.233,0.039,0.017,2.44,,,,,,,,,7017.0,58074.0,2.252,0.272,6836.0,0.265,0.0092,108.8,tests performed,,,,,,,,,,,,,,36.11,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-19,681.0,113.0,79.0,6.0,0.0,0.429,26.407,4.382,3.063,0.233,0.0,0.017,2.45,,,,,,,,,45267.0,103341.0,4.007,1.755,12641.0,0.49,0.0062,160.0,tests performed,,,,,,,,,,,,,,44.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-20,791.0,110.0,84.429,7.0,1.0,0.571,30.673,4.266,3.274,0.271,0.039,0.022,2.44,,,,,,,,,7443.0,110784.0,4.296,0.289,13443.0,0.521,0.0063,159.2,tests performed,,,,,,,,,,,,,,47.22,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-21,1071.0,280.0,117.286,7.0,0.0,0.571,41.531,10.858,4.548,0.271,0.0,0.022,2.52,,,,,,,,,11720.0,122504.0,4.75,0.454,14573.0,0.565,0.008,124.3,tests performed,,,,,,,,,,,,,,47.22,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-22,1549.0,478.0,178.857,7.0,0.0,0.571,60.066,18.536,6.936,0.271,0.0,0.022,2.48,,,,,,,,,10089.0,132593.0,5.142,0.391,15718.0,0.61,0.0114,87.9,tests performed,,,,,,,,,,,,,,47.22,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-984.6,-2.75,0.25,-38.180227814897
AUS,Oceania,Australia,2020-03-23,1682.0,133.0,186.429,7.0,0.0,0.571,65.224,5.157,7.229,0.271,0.0,0.022,2.28,,,,,,,,,11045.0,143638.0,5.57,0.428,14153.0,0.549,0.0132,75.9,tests performed,,,,,,,,,,,,,,52.78,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-24,2044.0,362.0,227.429,8.0,1.0,0.429,79.261,14.037,8.819,0.31,0.039,0.017,2.16,,,,,,,,,13030.0,156668.0,6.075,0.505,15087.0,0.585,0.0151,66.3,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-25,2364.0,320.0,256.571,8.0,0.0,0.286,91.67,12.409,9.949,0.31,0.0,0.011,2.02,,,,,,,,,11768.0,168436.0,6.532,0.456,15766.0,0.611,0.0163,61.4,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-26,2810.0,446.0,304.143,13.0,5.0,1.0,108.964,17.295,11.794,0.504,0.194,0.039,1.89,,,,,,,,,11503.0,179939.0,6.978,0.446,10943.0,0.424,0.0278,36.0,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-27,3143.0,333.0,336.0,13.0,0.0,0.857,121.877,12.913,13.029,0.504,0.0,0.033,1.71,,,,,,,,,12869.0,192808.0,7.477,0.499,11718.0,0.454,0.0287,34.9,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-28,3640.0,497.0,367.0,14.0,1.0,1.0,141.15,19.272,14.231,0.543,0.039,0.039,1.57,,,,,,,,,17261.0,210069.0,8.146,0.669,12509.0,0.485,0.0293,34.1,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-29,3984.0,344.0,347.857,16.0,2.0,1.286,154.489,13.339,13.489,0.62,0.078,0.05,1.42,,,,,,,,,13445.0,223514.0,8.667,0.521,12989.0,0.504,0.0268,37.3,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-894.6,-2.3,2.98,-34.6902618354732
AUS,Oceania,Australia,2020-03-30,4361.0,377.0,382.714,17.0,1.0,1.429,169.108,14.619,14.841,0.659,0.039,0.055,1.31,,,,,,,,,9433.0,232947.0,9.033,0.366,12758.0,0.495,0.03,33.3,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-03-31,4559.0,198.0,359.286,18.0,1.0,1.429,176.786,7.678,13.932,0.698,0.039,0.055,1.17,82.0,3.18,426.0,16.519,,,,,11982.0,244929.0,9.498,0.465,12609.0,0.489,0.0285,35.1,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-04-01,4862.0,303.0,356.857,20.0,2.0,1.714,188.536,11.75,13.838,0.776,0.078,0.066,1.08,86.0,3.335,441.0,17.101,,,,,11889.0,256818.0,9.959,0.461,12626.0,0.49,0.0283,35.4,tests performed,,,,,,,,,,,,,,71.3,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-04-02,5116.0,254.0,329.429,24.0,4.0,1.571,198.385,9.849,12.774,0.931,0.155,0.061,0.97,92.0,3.568,415.0,16.093,,,,,10280.0,267098.0,10.357,0.399,12451.0,0.483,0.0265,37.8,tests performed,,,,,,,,,,,,,,73.15,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-04-03,5330.0,214.0,312.429,28.0,4.0,2.143,206.684,8.298,12.115,1.086,0.155,0.083,0.86,93.0,3.606,457.0,17.721,,,,,10749.0,277847.0,10.774,0.417,12148.0,0.471,0.0257,38.9,tests performed,,,,,,,,,,,,,,73.15,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-04-04,5550.0,220.0,272.857,30.0,2.0,2.286,215.215,8.531,10.581,1.163,0.078,0.089,0.77,95.0,3.684,490.0,19.001,,,,,9610.0,287457.0,11.147,0.373,11055.0,0.429,0.0247,40.5,tests performed,,,,,,,,,,,,,,73.15,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUS,Oceania,Australia,2020-04-05,5687.0,137.0,243.286,35.0,5.0,2.714,220.527,5.313,9.434,1.357,0.194,0.105,0.7,96.0,3.723,457.0,17.721,,,,,9783.0,297240.0,11.526,0.379,10532.0,0.408,0.0231,43.3,tests performed,,,,,,,,,,,,,,73.15,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,-718.3,-1.71,5.79,-27.8538062557795
AUS,Oceania,Australia,2020-04-06,5797.0,110.0,205.143,40.0,5.0,3.286,224.793,4.266,7.955,1.551,0.194,0.127,0.65,93.0,3.606,305.0,11.827,,,,,5519.0,302759.0,11.74,0.214,9973.0,0.387,0.0206,48.6,tests performed,,,,,,,,,,,,,,73.15,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
